Id,UserName,UserURL,Version,Score,Title,Text,URL
gp:AOqpTOEc2b3QcY5salfryld8Y9eKn6OhaN8kuEoGYvupA7-xVN0hJHSYmP6Zp_kY2Sa2EnlyUCNRiQ5Q22LqVdQ,JC,https://play-lh.googleusercontent.com/a-/AOh14Ggj-D3lZz86Y_En4pG_jffvZvy1YgvNPsnNHXAx_ls,1.18.2.03,3,,"It's good but there is a problem, I cant login into my account cause it keeps on signing me on a different account! The name was SovietJaguar652. But I forgot the email and password! Please get me signed back in.. And get rid of the moving file thing! Its annoying!!!",https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOEc2b3QcY5salfryld8Y9eKn6OhaN8kuEoGYvupA7-xVN0hJHSYmP6Zp_kY2Sa2EnlyUCNRiQ5Q22LqVdQ
gp:AOqpTOEKXxMco-hoqBrH-lUVaQgMqVO2iWJxvHskFgRUqYIe3VZ4_syRMqdEOlxGCBPEmE3zMvG7mE7d5V6OKSY,johan gamersbext,https://play-lh.googleusercontent.com/a/AATXAJxtzTt65aV5KUpnF3GxXKPruOQz9WW68aO0c0oA=mo,1.18.2.03,5,,I like the gake but I think we need more updates like this and more realistic stuffs form real life but I do like it,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOEKXxMco-hoqBrH-lUVaQgMqVO2iWJxvHskFgRUqYIe3VZ4_syRMqdEOlxGCBPEmE3zMvG7mE7d5V6OKSY
gp:AOqpTOHRX2awQthjVpbSsGieTYcL2j5wglgVu8es-UeRpBgEqO-KOzWLlvWFncIx7X_kXEdfwlv7gZNk-aVqX9A,Dani Ing,https://play-lh.googleusercontent.com/a/AATXAJwj7iDElJe5SuyLk3PfF1LqIH6wDBVSoLQmxWWt=mo,1.18.2.03,5,,I really like this game and super cool but the new caves and cliffs part two doesn't have everything it said it would it doesn't have the sacks or the wardens I'm sorta disappointed but above all this app is awsome,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOHRX2awQthjVpbSsGieTYcL2j5wglgVu8es-UeRpBgEqO-KOzWLlvWFncIx7X_kXEdfwlv7gZNk-aVqX9A
gp:AOqpTOFL6rbtwfOgTxIp_I_PIhG7m7fXPB2jPRl_OlqwW0e_QJ_W8Oli_tVMe2myRRtKA5-5TVjX6iiS6K_Sico,Kian Albertyn,https://play-lh.googleusercontent.com/a/AATXAJzJxvlNHLxgF5f9zvzXXiGAkDyudnrZKgbboKs_=mo,1.18.2.03,5,,Its so good!!!!,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOFL6rbtwfOgTxIp_I_PIhG7m7fXPB2jPRl_OlqwW0e_QJ_W8Oli_tVMe2myRRtKA5-5TVjX6iiS6K_Sico
gp:AOqpTOH6Zh0zlj2xRjNX6MiAymNhoq8l2lLkGHqW2Kf8Ktk6sXuR456WaQUzDSOfYF8cty5ammk4pA8TcXfh4m0,Liz Dobbs,https://play-lh.googleusercontent.com/a/AATXAJxzaA4rBkqnM6OO9Rawyhey-Vj6ORHdclUYelAL=mo,1.18.2.03,5,,I am MLG off a skyscraper I love this game I don't want to stop playing it yay yay I made a world that is called I'm a noob dirt dirt yay,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOH6Zh0zlj2xRjNX6MiAymNhoq8l2lLkGHqW2Kf8Ktk6sXuR456WaQUzDSOfYF8cty5ammk4pA8TcXfh4m0
gp:AOqpTOEPpHWnP7j-Wx7SUXpjF3fixnkGsdEtrj1FuW2hhQLgOlfs63BEu95AE4KahibzScnw4Io9-iGMY9R9b4E,Dodge MyViper,https://play-lh.googleusercontent.com/a-/AOh14Gh6nQXWoSXd5ATPHj7Va46qIB93ndq9_K0-3ypOKg,1.18.2.03,5,,The most recent update has caused me to need to transfer my files into another storage space in my phone. In which I am unable to do.,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOEPpHWnP7j-Wx7SUXpjF3fixnkGsdEtrj1FuW2hhQLgOlfs63BEu95AE4KahibzScnw4Io9-iGMY9R9b4E
gp:AOqpTOEmtmwS6PaGFJtmFew_nLkF9xWoNv42_xnRbBFm53ZNVIG6Swu3N7S0b1NpTfzK3RQlkphcPIP0yrOanLY,Zahir haynes,https://play-lh.googleusercontent.com/a-/AOh14Gi_PBuZHOVcg7TVIk778-86zB5P3olQlY1I3rBl,,5,,This game is so fun! I wish they could add an option where you could drive but other then that this is one of my favorite games to play when I'm bored of playing roblox all day.,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOEmtmwS6PaGFJtmFew_nLkF9xWoNv42_xnRbBFm53ZNVIG6Swu3N7S0b1NpTfzK3RQlkphcPIP0yrOanLY
gp:AOqpTOE4pK4gziv3cU9CIRNFdfUlE_e1IgGm6TJobmQAJue1eZf7suGhxsFPeoSskMXam3RQGyKfVMhYFzdhSw4,Dakota Poole,https://play-lh.googleusercontent.com/a/AATXAJyNh0fbh7xnM7ZYgXoZ6rc6LCmDCPLFQsoOmLYK=mo,,1,,Not that fun anymore,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOE4pK4gziv3cU9CIRNFdfUlE_e1IgGm6TJobmQAJue1eZf7suGhxsFPeoSskMXam3RQGyKfVMhYFzdhSw4
gp:AOqpTOFn_h09EdaPx5WoOkqWF5wBwHbECuf-RmNA66UvR1w0Y-2eV1z9E8TfHhOR3bh3NIDxMTYgrgdA77N4K9Q,Headygymnast135,https://play-lh.googleusercontent.com/a-/AOh14GgLAp18WhGc6VovxtBQUvFfu1V2L2dE25Pwx19D_w,,3,,this game is great but there's one problem it won't let me join anyone's friend even though I have a Microsoft account no matter what it won't let me join my best friends anyone anyone's world like Friends of Friends it will no matter what it will just say unable to connect to world but everything else is good,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOFn_h09EdaPx5WoOkqWF5wBwHbECuf-RmNA66UvR1w0Y-2eV1z9E8TfHhOR3bh3NIDxMTYgrgdA77N4K9Q
gp:AOqpTOEWBKB_h7VwwDNHnA4lWJq9-mEMkFw6XkrELMnSIclfcXrAzdnYSfPzX6kANcBwZXPOBihazIDtLxoXybE,Susan Drumm,https://play-lh.googleusercontent.com/a-/AOh14GiBk4liN5bEFA9JzTCihVQ7yfQ-9AqoLDzohXxiTpo,1.18.2.03,5,,"Keep making more cool updates like Roblox haha Its so fun playing minecraft but it isnt fun when ur friends are offilne. but still i love the game and thanks for making it the u can sign in for free and join multiplayer servers. and btw i have an idea for a new update: the Crocodile and the Aligator, We can still keep the Drowned but Crocs and Aligators can kill the player's Full health cuz in real life the crocs and Aligators Can kill a human in a second by bitting them. Hope to see the update",https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOEWBKB_h7VwwDNHnA4lWJq9-mEMkFw6XkrELMnSIclfcXrAzdnYSfPzX6kANcBwZXPOBihazIDtLxoXybE
